TEXT,TYPE
MARLBORO BLACK EDGE,COMBINED
MARLBORO BLACK FRESH,COMBINED
MARLBORO BLACK MENTHOL,COMBINED
MARLBORO BLACK MENTHOL EDGE,COMBINED
MARLBORO BLACK ONE,COMBINED
MARLBORO BLOSSOM FUSION,COMBINED
MARLBORO BLOSSOM MIST,COMBINED
MARLBORO BLUE BEYOND,COMBINED
MARLBORO BLUE ICE,COMBINED
MARLBORO CLEAR,COMBINED
MARLBORO CLOVE MIX,COMBINED
MARLBORO CORE FLAVOR,COMBINED
MARLBORO CORE FLAVOR FWD,COMBINED
MARLBORO CRISP MINT,COMBINED
MARLBORO DOUBLE BURST,COMBINED
MARLBORO DOUBLE FUSION,COMBINED
MARLBORO DOUBLE FUSION AMBER,COMBINED
MARLBORO DOUBLE FUSION PURPLE,COMBINED
MARLBORO DOUBLE FUSION SUMMER,COMBINED
MARLBORO DOUBLE ICE,COMBINED
MARLBORO DOUBLE MIX,COMBINED
MARLBORO DRY MENTHOL,COMBINED
MARLBORO EDGE,COMBINED
MARLBORO EDGE PRIME,COMBINED
MARLBORO EXOTIC FUSION,COMBINED
MARLBORO EXOTIC SHUFFLE,COMBINED
MARLBORO FILTER EXTRA FWD,COMBINED
MARLBORO FILTER PLUS,COMBINED
MARLBORO FILTER PLUS EXTRA,COMBINED
MARLBORO FILTER PLUS FWD,COMBINED
MARLBORO FILTER PLUS ONE,COMBINED
MARLBORO FILTER PLUS ONE FWD,COMBINED
MARLBORO FILTER PLUS SILVER,COMBINED
MARLBORO FILTER PLUS WHITE,COMBINED
MARLBORO FINE TOUCH,COMBINED
MARLBORO FLAVOR CODE,COMBINED
MARLBORO FLAVOR CODE FWD,COMBINED
MARLBORO FLAVOR MIX,COMBINED
MARLBORO FLAVOR MIX FWD,COMBINED
MARLBORO FLAVOR ONE FWD,COMBINED
MARLBORO FLAVOR TOUCH,COMBINED
MARLBORO FOREST FUSION,COMBINED
MARLBORO FOREST MIST,COMBINED
MARLBORO FUSE BEYOND,COMBINED
MARLBORO FUSION BLAST,COMBINED
MARLBORO GOLD,COMBINED
MARLBORO GOLD ADVANCE,COMBINED
MARLBORO GOLD ADVANCE ULTRA,COMBINED
MARLBORO GOLD B,COMBINED
MARLBORO GOLD BEYOND,COMBINED
MARLBORO GOLD EDGE,COMBINED
MARLBORO GOLD FINE TOUCH,COMBINED
MARLBORO GOLD LIGHTS,COMBINED
MARLBORO GOLD ORIGINAL,COMBINED
MARLBORO GOLD SILVER,COMBINED
MARLBORO GOLD SMOOTH,COMBINED
MARLBORO GOLD TOUCH,COMBINED
MARLBORO GOLD ULTRA,COMBINED
MARLBORO GREEN,COMBINED
MARLBORO ICE BLAST,COMBINED
MARLBORO ICE BLAST CAPSULE,COMBINED
MARLBORO ICE BLAST MEGA,COMBINED
MARLBORO ICE BLAST MENTHOL,COMBINED
MARLBORO ICE BLAST MICRO,COMBINED
MARLBORO ICE MINT,COMBINED
MARLBORO LIGHTS,COMBINED
MARLBORO LUNA SHUFFLE,COMBINED
MARLBORO MEDIUM,COMBINED
MARLBORO MEDIUM FWD,COMBINED
MARLBORO MEDIUM UPGRADE,COMBINED
MARLBORO MEGA ICE BLAST,COMBINED
MARLBORO MENTHOL,COMBINED
MARLBORO MENTHOL LIGHTS,COMBINED
MARLBORO MENTHOL ULTRA LIGHTS,COMBINED
MARLBORO MICRO,COMBINED
MARLBORO MICRO BEYOND,COMBINED
MARLBORO MICRO BEYOND MINT,COMBINED
MARLBORO MICRO SILVER,COMBINED
MARLBORO MINT CAPSULE,COMBINED
MARLBORO MIX,COMBINED
MARLBORO MX FLAVOR,COMBINED
MARLBORO ONE,COMBINED
MARLBORO ORIGINAL GOLD,COMBINED
MARLBORO PLATINUM,COMBINED
MARLBORO PREMIUM BLACK,COMBINED
MARLBORO PREMIUM BLACK FWD,COMBINED
MARLBORO PRIME,COMBINED
MARLBORO PURPLE,COMBINED
MARLBORO PURPLE BURST,COMBINED
MARLBORO RED,COMBINED
MARLBORO RED B,COMBINED
MARLBORO RED BEYOND,COMBINED
MARLBORO RED FWD,COMBINED
MARLBORO RED TITANIUM EDITION,COMBINED
MARLBORO RED UPGRADE,COMBINED
MARLBORO REDGOLD,COMBINED
MARLBORO REDWHITE,COMBINED
MARLBORO SHUFFLE,COMBINED
MARLBORO SILVER,COMBINED
MARLBORO SILVER BLUE,COMBINED
MARLBORO SOL SHUFFLE,COMBINED
MARLBORO SPLASH MEGA,COMBINED
MARLBORO SUMMER FUSION,COMBINED
MARLBORO SUMMER SPLASH,COMBINED
MARLBORO TOUCH,COMBINED
MARLBORO TOUCH AQUA,COMBINED
MARLBORO TOUCH BLUE,COMBINED
MARLBORO TOUCH GRAY,COMBINED
MARLBORO TOUCH ONE,COMBINED
MARLBORO TROPICAL MIX,COMBINED
MARLBORO TROPICAL SPLASH,COMBINED
MARLBORO ULTRA LIGHTS,COMBINED
MARLBORO VIBE BEYOND,COMBINED
MARLBORO VISTA PURPLE FUSION,COMBINED
MARLBORO WBURST,COMBINED
MARLBORO WHITE,COMBINED
MARLBORO WHITE FRESH,COMBINED
MARLBORO WHITE MENTHOL,COMBINED
MARLBORO WHITE MINT,COMBINED
MARLBORO WIDES,COMBINED
MARLBORO WINTER SHUFFLE,COMBINED
MERIT BLUE,COMBINED
MERIT FILTER,COMBINED
MERIT LIGHTS,COMBINED
MERIT ONE,COMBINED
MERIT ORANGE,COMBINED
MERIT ULTRA LIGHTS,COMBINED
MULTIFILTER RED,COMBINED
MURATTI AMBASSADOR,COMBINED
MURATTI AMBASSADOR BLUE,COMBINED
MURATTI AMBASSADOR SILVER,COMBINED
MURATTI BLUE,COMBINED
MURATTI ROSSO,COMBINED
MURATTI SUPER SLIMS BLUE,COMBINED
MURATTI SUPER SLIMS SILVER,COMBINED
MURATTI TONE,COMBINED
NEXT BLUE,COMBINED
NEXT GREEN,COMBINED
NEXT RED,COMBINED
NEXT SNAP,COMBINED
NEXT XTRA BLUE,COMBINED
NEXT XTRA GOLD,COMBINED
NEXT XTRA GREEN,COMBINED
NEXT XTRA RED,COMBINED
NUMBER 7 BLUE,COMBINED
NUMBER 7 GREEN,COMBINED
NUMBER 7 RED,COMBINED
PARLIAMENT AQUA,COMBINED
PARLIAMENT AQUA BLUE,COMBINED
PARLIAMENT AQUA HYBRID,COMBINED
PARLIAMENT BLUE,COMBINED
PARLIAMENT CARAT,COMBINED
PARLIAMENT CARAT BLUE,COMBINED
PARLIAMENT CARAT SAPPHIRE,COMBINED
PARLIAMENT CARAT WHITE,COMBINED
PARLIAMENT CRYSTAL BLAST,COMBINED
PARLIAMENT EXTRA LIGHTS,COMBINED
PARLIAMENT HYBRID,COMBINED
PARLIAMENT LIGHTS,COMBINED
PARLIAMENT MIX BLOSSOM BREEZE,COMBINED
PARLIAMENT NIGHT,COMBINED
PARLIAMENT NIGHT BLUE,COMBINED
PARLIAMENT ONE,COMBINED
PARLIAMENT P BLACK,COMBINED
PARLIAMENT P BLUE,COMBINED
PARLIAMENT PLATINUM BLUE,COMBINED
PARLIAMENT SILVER,COMBINED
PARLIAMENT SILVER BLUE,COMBINED
PARLIAMENT SSL,COMBINED
PARLIAMENT SUPER SLIMS,COMBINED
PETER JACKSON BLUE FRESH BURST,COMBINED
PETER JACKSON FINE SILVER,COMBINED
PETER JACKSON GOLD FRESH BURST,COMBINED
PETER JACKSON HYBRID BLUE REGULAR TO FRESH,COMBINED
PETER JACKSON HYBRID GOLD REGULAR TO FRESH,COMBINED
PETER JACKSON ORIGINAL BLUE,COMBINED
PETER JACKSON ORIGINAL FLAVOUR,COMBINED
PETER JACKSON RICH FLAVOUR,COMBINED
PETER JACKSON RICH GOLD,COMBINED
PETTEROE'S LYS BLA,COMBINED
PETTEROE'S ORIGINAL,COMBINED
PHILIP MORRIS BLEUE,COMBINED
PHILIP MORRIS BLUE,COMBINED
PHILIP MORRIS CAPS,COMBINED
PHILIP MORRIS CAPS DUO,COMBINED
PHILIP MORRIS CLASSIC,COMBINED
PHILIP MORRIS ONE,COMBINED
PHILIP MORRIS PRONEX ONE,COMBINED
PHILIP MORRIS PRONEX SUPER LIGHTS,COMBINED
PHILIP MORRIS QUANTUM,COMBINED
PHILIP MORRIS QUANTUM BLUE,COMBINED
PHILIP MORRIS QUANTUM INDIGO,COMBINED
PHILIP MORRIS QUANTUM ONE,COMBINED
PHILIP MORRIS QUANTUM SILVER,COMBINED
PHILIP MORRIS RED,COMBINED
PHILIP MORRIS SELECT TOBACCOS,COMBINED
PHILIP MORRIS SELECTION BLUE,COMBINED
PHILIP MORRIS SELECTION RED,COMBINED
PHILIP MORRIS SUPER LIGHTS,COMBINED
PHILIP MORRIS SUPREME,COMBINED
ROOFTOP GOLD,COMBINED
ROOFTOP RED,COMBINED
ROOFTOP SILVER,COMBINED
ROTHMANS BLUE,COMBINED
ROTHMANS SPECIAL,COMBINED
SAMPOERNA A MILD,COMBINED
SAMPOERNA A SKM,COMBINED
SG AZUL,COMBINED
SG FILTRO,COMBINED
SG GIGANTE,COMBINED
SG VENTIL,COMBINED
VIRGINIA S. DUO,COMBINED
VIRGINIA S. ICE PEARL,COMBINED
VIRGINIA S. LIGHTS,COMBINED
VIRGINIA S. ONE,COMBINED
VIRGINIA S. ROSE,COMBINED
VIRGINIA S. SOPHIA,COMBINED
VIRGINIA SLIMS GOLD,COMBINED
VIRGINIA SLIMS LIGHTS,COMBINED
