TEXT,TYPE
DOUBLE FUSION PURPLE,BRAND_DIFFERENTIATOR_NAME
DOUBLE FUSION SUMMER,BRAND_DIFFERENTIATOR_NAME
DOUBLE ICE,BRAND_DIFFERENTIATOR_NAME
DOUBLE MIX,BRAND_DIFFERENTIATOR_NAME
DRY MENTHOL,BRAND_DIFFERENTIATOR_NAME
DUO,BRAND_DIFFERENTIATOR_NAME
EDGE,BRAND_DIFFERENTIATOR_NAME
EDGE PRIME,BRAND_DIFFERENTIATOR_NAME
EXOTIC FUSION,BRAND_DIFFERENTIATOR_NAME
EXOTIC SHUFFLE,BRAND_DIFFERENTIATOR_NAME
EXTRA,BRAND_DIFFERENTIATOR_NAME
EXTRA LIGHTS,BRAND_DIFFERENTIATOR_NAME
EXTRA MILD,BRAND_DIFFERENTIATOR_NAME
EXTRA MILDS,BRAND_DIFFERENTIATOR_NAME
FAST FORWARD,BRAND_DIFFERENTIATOR_NAME
FF,BRAND_DIFFERENTIATOR_NAME
FILTER,BRAND_DIFFERENTIATOR_NAME
FILTER EXTRA FWD,BRAND_DIFFERENTIATOR_NAME
FILTER BLUE,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS EXTRA,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS FWD,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS ONE,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS ONE FWD,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS SILVER,BRAND_DIFFERENTIATOR_NAME
FILTER PLUS WHITE,BRAND_DIFFERENTIATOR_NAME
FILTER RED,BRAND_DIFFERENTIATOR_NAME
FILTRO,BRAND_DIFFERENTIATOR_NAME
FINE MENTHOL,BRAND_DIFFERENTIATOR_NAME
FINE SILVER,BRAND_DIFFERENTIATOR_NAME
FINE TOUCH,BRAND_DIFFERENTIATOR_NAME
FLAVOR CODE,BRAND_DIFFERENTIATOR_NAME
FLAVOR CODE FWD,BRAND_DIFFERENTIATOR_NAME
FLAVOR MIX,BRAND_DIFFERENTIATOR_NAME
FLAVOR MIX FWD,BRAND_DIFFERENTIATOR_NAME
FLAVOR ONE FWD,BRAND_DIFFERENTIATOR_NAME
FLAVOR TOUCH,BRAND_DIFFERENTIATOR_NAME
FOREST FUSION,BRAND_DIFFERENTIATOR_NAME
FOREST MIST,BRAND_DIFFERENTIATOR_NAME
FORWARD,BRAND_DIFFERENTIATOR_NAME
FORWARD BLUE,BRAND_DIFFERENTIATOR_NAME
FULL FLAVOR,BRAND_DIFFERENTIATOR_NAME
FUSE BEYOND,BRAND_DIFFERENTIATOR_NAME
FUSION BLAST,BRAND_DIFFERENTIATOR_NAME
FWD BLU BLU,BRAND_DIFFERENTIATOR_NAME
FWD GRN BLU,BRAND_DIFFERENTIATOR_NAME
GIGANTE,BRAND_DIFFERENTIATOR_NAME
GOLD,BRAND_DIFFERENTIATOR_NAME
GOLD FRESH BURST,BRAND_DIFFERENTIATOR_NAME
GOLD ORIGINAL,BRAND_DIFFERENTIATOR_NAME
GOLD ADVANCE,BRAND_DIFFERENTIATOR_NAME
GOLD ADVANCE ULTRA,BRAND_DIFFERENTIATOR_NAME
GOLD B,BRAND_DIFFERENTIATOR_NAME
GOLD BEYOND,BRAND_DIFFERENTIATOR_NAME
GOLD EDGE,BRAND_DIFFERENTIATOR_NAME
GOLD FINE TOUCH,BRAND_DIFFERENTIATOR_NAME
GOLD LIGHTS,BRAND_DIFFERENTIATOR_NAME
GOLD SILVER,BRAND_DIFFERENTIATOR_NAME
GOLD SMOOTH,BRAND_DIFFERENTIATOR_NAME
GOLD TOUCH,BRAND_DIFFERENTIATOR_NAME
GOLD ULTRA,BRAND_DIFFERENTIATOR_NAME
GOLDEN BLEND,BRAND_DIFFERENTIATOR_NAME
GREEN,BRAND_DIFFERENTIATOR_NAME
GREEN CROWN,BRAND_DIFFERENTIATOR_NAME
GREEN LABEL,BRAND_DIFFERENTIATOR_NAME
GREEN LABEL CWB,BRAND_DIFFERENTIATOR_NAME
GREEN LABEL COOL,BRAND_DIFFERENTIATOR_NAME
GREEN LINE,BRAND_DIFFERENTIATOR_NAME
HARMONY,BRAND_DIFFERENTIATOR_NAME
HELVETICA,BRAND_DIFFERENTIATOR_NAME
HYBRID,BRAND_DIFFERENTIATOR_NAME
HYBRID BLUE REGULAR TO FRESH,BRAND_DIFFERENTIATOR_NAME
HYBRID GOLD REGULAR TO FRESH,BRAND_DIFFERENTIATOR_NAME
ICE BLAST,BRAND_DIFFERENTIATOR_NAME
ICE BLAST CAPSULE,BRAND_DIFFERENTIATOR_NAME
ICE BLAST MEGA,BRAND_DIFFERENTIATOR_NAME
ICE BLAST MENTHOL,BRAND_DIFFERENTIATOR_NAME
ICE BLAST MICRO,BRAND_DIFFERENTIATOR_NAME
ICE MINT,BRAND_DIFFERENTIATOR_NAME
ICE PEARL,BRAND_DIFFERENTIATOR_NAME
INTERNATIONAL RED,BRAND_DIFFERENTIATOR_NAME
LATITUDE,BRAND_DIFFERENTIATOR_NAME
LIGHT,BRAND_DIFFERENTIATOR_NAME
LIGHTS,BRAND_DIFFERENTIATOR_NAME
LILY,BRAND_DIFFERENTIATOR_NAME
LOFT,BRAND_DIFFERENTIATOR_NAME
LUMINO,BRAND_DIFFERENTIATOR_NAME
LUMINO BLEND,BRAND_DIFFERENTIATOR_NAME
LUNA SHUFFLE,BRAND_DIFFERENTIATOR_NAME
LYS BLA,BRAND_DIFFERENTIATOR_NAME
MEDIUM,BRAND_DIFFERENTIATOR_NAME
MEDIUM FWD,BRAND_DIFFERENTIATOR_NAME
MEDIUM UPGRADE,BRAND_DIFFERENTIATOR_NAME
MEGA ICE BLAST,BRAND_DIFFERENTIATOR_NAME
MENTHOL,BRAND_DIFFERENTIATOR_NAME
MENTHOL BLEND,BRAND_DIFFERENTIATOR_NAME
MENTHOL CAPSULE,BRAND_DIFFERENTIATOR_NAME
MENTHOL GREEN,BRAND_DIFFERENTIATOR_NAME
MENTHOL LIGHTS,BRAND_DIFFERENTIATOR_NAME
MENTHOL ULTRA LIGHTS,BRAND_DIFFERENTIATOR_NAME
MICRO,BRAND_DIFFERENTIATOR_NAME
MICRO BEYOND,BRAND_DIFFERENTIATOR_NAME
MICRO BEYOND MINT,BRAND_DIFFERENTIATOR_NAME
MICRO SILVER,BRAND_DIFFERENTIATOR_NAME
MILD,BRAND_DIFFERENTIATOR_NAME
MILDS,BRAND_DIFFERENTIATOR_NAME
MINT CAPSULE,BRAND_DIFFERENTIATOR_NAME
MINT SPLASH,BRAND_DIFFERENTIATOR_NAME
